player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,ESPN_ATHLETE_ID,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,opp_l10_pts,opp_l10_reb,opp_l10_ast,opp_l10_stl,opp_l10_blk,opp_last_game_pts,opp_last_game_reb,opp_last_game_ast,opp_last_game_date,opp_games_played,opp_home_avg_pts,opp_away_avg_pts,opp_last_3_avg_pts,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source,ctx_adj,days_rest,b2b_flag,home_away,rest_adj,schedule_source,h2h_last_stat,h2h_last_date,h2h_games_vs_opp,h2h_avg,h2h_over_rate,projection,edge,abs_edge,forced_over_only,bet_direction,eligible,void_reason,edge_dr,line_hit_rate,minutes_certainty,prop_weight,reliability_mult,def_adj,projection_adj,edge_adj,edge_adj_dr,def_rank_signal,prop_hr_prior,stat_last5_avg_num,stat_last10_avg_num,stat_season_avg_num,avg_vs_line,edge_z,line_hit_z,min_z,def_rank_z,avg_vs_line_z,prop_hr_z,rank_score,tier,model_dir,final_bet_direction,final_dir_reason
Jalen Johnson,F,ATL,,22.5,Points,pts,Standard,1630552,10493166,10493166,87857,136418,2026-03-16T19:00:00.000-04:00,ATL,,22.5,0,https://static.prizepicks.com/images/manual/JalenJohnson_headshot.png,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4701230.0,27.0,35.0,20.0,8.0,5.0,26.0,16.0,32.0,5.0,5.0,19.0,17.9,17.9,2.0,3.0,0.0,0.4,0.4,0.6,0.4,0.6,OK,29.4,OK,5.0,2.0,3.0,0.0,0.4,0.6,29.4,19.0,MEDIUM,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,225.5,-15.5,120.5,True,False,NORMAL,live,-0.05,1,False,HOME,0,cache,,,0,,,18.45,-4.050000000000001,4.050000000000001,0,UNDER,1,,-2.544210651641051,0.6,0.9,1.03,1,0,17.5275,-4.9725,2.544210651641051,,0.54,19,17.9,17.9,0.18,-1.700566511528482,-0.5959520772917982,-0.3336491377221167,,-0.0560190985969932,0.1667179623800974,1.559370725838898,C,UNDER,UNDER,
Paolo Banchero,F,ORL,WAS,49.5,Fantasy Score,fantasy,Demon,1631094,10528570,10528570,188001,135136,2026-03-12T19:00:00.000-04:00,,,42.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432573.0,50.0,51.25,56.75,52.0,56.25,49.25,51.0,67.0,40.25,71.0,53.25,54.475,54.475,5.0,0.0,0.0,1.0,1.0,0.0,0.8,0.2,OK,33.8,OK,5.0,5.0,0.0,0.0,1.0,0.0,33.8,53.25,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,234.5,-13.5,124.0,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,,,0,,,61.941875,12.441875,12.441875,1,OVER,1,,2.544210651641051,0.9,1,1,0.75,0.06,62.56129375,13.06129375,2.544210651641051,1,0.674,53.25,54.475,54.475,0.08813131313131314,2.425816907665443,1.54878559921428,1.057543793555395,1.645397209497022,-0.6671118466613791,1.786834664862675,4.014625482486601,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Desmond Bane,G,ORL,WAS,43.0,Fantasy Score,fantasy,Demon,1630217,10528567,10528567,271602,135136,2026-03-12T19:00:00.000-04:00,,,36.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4066320.0,59.0,49.25,45.25,33.0,39.5,38.5,54.5,39.25,53.75,55.5,45.2,46.75,46.75,3.0,2.0,0.0,0.6,0.6,0.4,0.6,0.4,OK,34.0,OK,5.0,3.0,2.0,0.0,0.6,0.4,34.0,45.2,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,234.5,-13.5,124.0,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,,,0,,,52.87125,9.871249999999996,9.871249999999996,1,OVER,1,,2.544210651641051,0.6,1,1,0.75,0.06,53.39996249999999,10.39996249999999,2.544210651641051,1,0.674,45.2,46.75,46.75,0.06918604651162795,1.757928970606127,-0.1754655139411388,1.057543793555395,1.645397209497022,-0.7333524573527255,1.786834664862675,2.878155054336138,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Paolo Banchero,F,ORL,WAS,36.5,Fantasy Score,fantasy,Goblin,1631094,10528582,10528582,188001,135136,2026-03-12T19:00:00.000-04:00,,,42.5,1,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4432573.0,50.0,51.25,56.75,52.0,56.25,49.25,51.0,67.0,40.25,71.0,53.25,54.475,54.475,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,33.8,OK,5.0,5.0,0.0,0.0,1.0,0.0,33.8,53.25,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,234.5,-13.5,124.0,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,,,0,,,61.941875,25.441875,25.441875,1,OVER,1,,2.544210651641051,1,1,1,1.06,0.06,62.56129375,26.06129375,2.544210651641051,1,0.674,53.25,54.475,54.475,0.4756849315068494,5.803416978376299,2.123535970266087,1.057543793555395,1.645397209497022,0.6879384079580044,1.786834664862675,7.269119051987817,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Wendell Carter,C-F,ORL,WAS,34.0,Fantasy Score,fantasy,Demon,1628976,10528578,10528578,37711,135136,2026-03-12T19:00:00.000-04:00,,,28.0,1,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,234.5,-13.5,124.0,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,,,0,,,,,,1,OVER,0,NO_PROJECTION_OR_LINE,,,0.8,1,0.75,0.06,,,,1,0.674,,,,0,0,0,-1.724842068999628,0,0,0,,D,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
Alex Sarr,C,WAS,ORL,33.5,Fantasy Score,fantasy,Demon,1642259,10528588,10528588,217304,135136,2026-03-12T19:00:00.000-04:00,,,27.5,1,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5160992.0,47.0,15.5,,,,,,,,,31.25,31.25,31.25,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,OK,19.0,OK,2.0,1.0,1.0,0.0,0.5,0.5,19.0,31.25,LOW,MID_VOL,PRIMARY,,,,,,,,,,,,,,234.5,13.5,110.5,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,,,0,,,35.9375,2.4375,2.4375,1,OVER,1,,2.132568208938456,0.5,0.75,1,0.75,0,34.140625,0.640625,0.6848781332873475,-0.03448275862068961,0.674,31.25,31.25,31.25,-0.06716417910447761,-0.1734736852128592,-0.750215884992945,-2.420438534638385,-0.115028252027301,-1.21009012455077,1.786834664862675,-0.650114688909701,D,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Desmond Bane,G,ORL,WAS,31.0,Fantasy Score,fantasy,Goblin,1630217,10528574,10528574,271602,135136,2026-03-12T19:00:00.000-04:00,,,36.5,1,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,,,,,OK,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4066320.0,59.0,49.25,45.25,33.0,39.5,38.5,54.5,39.25,53.75,55.5,45.2,46.75,46.75,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,34.0,OK,5.0,5.0,0.0,0.0,1.0,0.0,34.0,45.2,HIGH,HIGH_VOL,PRIMARY,,,,,,,,,,,,,,234.5,-13.5,124.0,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,,,0,,,52.87125,21.87125,21.87125,1,OVER,1,,2.544210651641051,1,1,1,1.06,0.06,53.39996249999999,22.39996249999999,2.544210651641051,1,0.674,45.2,46.75,46.75,0.4830645161290323,4.875713651262302,2.123535970266087,1.057543793555395,1.645397209497022,0.7137405358369515,1.786834664862675,7.28963174365158,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Trae Young,G,WAS,ORL,30.5,Fantasy Score,fantasy,Demon,1629027,10528599,10528599,304617,135136,2026-03-12T19:00:00.000-04:00,,,24.5,1,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4277905.0,38.0,31.0,,,,,,,,,34.5,34.5,34.5,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,18.5,OK,2.0,2.0,0.0,0.0,1.0,0.0,18.5,34.5,LOW,MID_VOL,PRIMARY,,,,,,,,,,,,,,234.5,13.5,110.5,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,,,0,,,39.675,9.174999999999997,9.174999999999997,1,OVER,1,,2.544210651641051,1,0.75,1,0.75,0,37.69125,7.191249999999997,2.544210651641051,-0.03448275862068961,0.674,34.5,34.5,34.5,0.1311475409836066,1.577032505280555,2.123535970266087,-2.420438534638385,-0.115028252027301,-0.5167090436935227,1.786834664862675,2.757253457250619,A,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Bilal Coulibaly,G,WAS,ORL,30.0,Fantasy Score,fantasy,Demon,1641731,10528583,10528583,175142,135136,2026-03-12T19:00:00.000-04:00,,,24.5,1,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp,,,,,OK,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.1,29.9,59.8,14.0,2.0,1.0,7.0,14.0,25.0,25.0,25.0,25.0,10.0,14.677419354838708,15.0,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5104155.0,34.0,12.0,33.75,17.5,36.75,32.75,24.25,33.0,34.5,30.75,26.8,28.925,28.925,3.0,2.0,0.0,0.6,0.6,0.4,0.7,0.3,OK,28.8,OK,5.0,3.0,2.0,0.0,0.6,0.4,28.8,26.8,MEDIUM,HIGH_VOL,PRIMARY,6.0,6.0,3.0,0.0,0.0,6.0,6.0,3.0,2026-03-03,1.0,,6.0,6.0,234.5,13.5,110.5,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,6.0,2026-03-03,1,6.0,0.0,32.041875,2.041874999999997,2.041874999999997,1,OVER,1,,1.834529834815196,0.6499999999999999,0.9,1,0.75,0,30.43978125,0.4397812499999958,0.4974520248142831,-0.03448275862068961,0.674,26.8,28.925,28.925,-0.07124999999999998,-0.2762631489032431,0.111909671584764,-0.3336491377221167,-0.115028252027301,-1.224375870786383,1.786834664862675,0.1632434889212776,D,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM
Tristan Silva,F,ORL,WAS,29.0,Fantasy Score,fantasy,Demon,,10528572,10528572,218628,135136,2026-03-12T19:00:00.000-04:00,,,23.5,1,https://static.prizepicks.com/images/players/NBA/Tristan_Da_Silva_NBA_player_P4N0KaXAPN3h5k1IVKetUs5m.webp,,,,,UNRESOLVED_SINGLE,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29.0,22.0,22.0,27.0,28.0,27.0,26.0,26.0,27.0,23.0,27.161290322580644,30.0,Weak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NO_ID,,MISSING_STAT_VALUES,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,234.5,-13.5,124.0,True,False,FAST,live,-0.05,99,False,UNKNOWN,0,cache,,,0,,,,,,1,OVER,0,NO_PROJECTION_OR_LINE,,,0.8,1,0.75,0.06,,,,1,0.674,,,,0,0,0,-1.724842068999628,0,0,0,,D,UNDER,OVER,FORCED_OVER_ONLY_GOB_DEM
